mp10,lat,lon,mp25
0,0,14 
14,0,0,12 
13,0,0,12 
13,0,0,14 
15,0,0,12 
13,0,0,14 
14,0,0,12 
12,0,0,11 
12,0,0,12 
15,0,0,13 
16,0,0,14 
16,0,0,15 
16,0,0,16 
16,0,0,15 
17,0,0,16 
18,0,0,19 
19,0,0,19 
20,0,0,20 
20,0,0,20 
21,0,0,20 
21,0,0,18 
20,0,0,18 
20,0,0,17 
18,0,0,17 
18,0,0,17 
17,0,0,15 
16,0,0,14 
15,0,0,15 
16,0,0,15 
15,0,0,14 
14,0,0,15 
15,0,0,17 
17,0,0,18 
19,0,0,20 
20,-39.274955,-71.971832,22 
22,-39.274940,-71.971847,23 
23,-39.274894,-71.971847,24 
25,-39.274856,-71.971870,25 
26,-39.274822,-71.971878,25 
26,-39.274841,-71.971954,28 
28,-39.274841,-71.971954,27 
28,-39.274841,-71.971954,26 
27,-39.274860,-71.971946,26 
26,-39.274879,-71.971977,25 
27,-39.274890,-71.971977,26 
26,-39.274906,-71.971984,28 
29,-39.274921,-71.972099,27 
29,-39.274913,-71.972221,31 
33,-39.274936,-71.972206,34 
36,-39.274944,-71.972198,36 
38,-39.274921,-71.972206,40 
43,-39.274890,-71.972236,50 
52,-39.274879,-71.972282,62 
66,-39.274864,-71.972312,77 
80,-39.274856,-71.972351,119 
130,-39.274829,-71.972366,155 
176,-39.274806,-71.972358,176 
206,-39.274784,-71.972373,249 
310,-39.274761,-71.972381,357 
469,-39.274726,-71.972419,530 
729,-39.274692,-71.972442,655 
913,-39.274681,-71.972465,708 
990,-39.274673,-71.972488,672 
929,-39.274635,-71.972496,497 
669,-39.274616,-71.972496,288 
375,-39.274600,-71.972496,133 
160,-39.274559,-71.972503,74 
88,-39.274536,-71.972534,56 
64,-39.274513,-71.972549,39 
43,-39.274478,-71.972572,25 
27,-39.274448,-71.972595,18 
19,-39.274375,-71.972602,16 
17,-39.274337,-71.972610,15 
16,-39.274303,-71.972640,15 
16,-39.274288,-71.972671,15 
17,-39.274272,-71.972679,16 
17,-39.274257,-71.972694,15 
16,-39.274234,-71.972709,14 
15,-39.274219,-71.972732,13 
14,-39.274204,-71.972732,12 
13,-39.274166,-71.972770,11 
12,-39.274124,-71.972785,10 
12,-39.274101,-71.972793,21 
23,-39.274047,-71.972808,30 
34,-39.274017,-71.972839,39 
42,-39.273979,-71.972839,41 
44,-39.273944,-71.972846,35 
37,-39.273933,-71.972862,39 
40,-39.273933,-71.972869,45 
47,-39.273910,-71.972885,49 
50,-39.273906,-71.972900,54 
54,-39.273883,-71.972923,53 
54,-39.273830,-71.972938,60 
62,-39.273818,-71.972953,86 
94,-39.273815,-71.972976,116 
124,-39.273792,-71.973007,178 
197,-39.273792,-71.973052,354 
441,-39.273796,-71.973091,444 
556,-39.273799,-71.973121,520 
659,-39.273761,-71.973144,547 
690,-39.273754,-71.973159,440 
570,-39.273777,-71.973159,217 
243,-39.273799,-71.973152,165 
179,-39.273815,-71.973136,157 
171,-39.273841,-71.973121,155 
169,-39.273860,-71.973106,157 
170,-39.273872,-71.973106,158 
170,-39.273895,-71.973114,152 
163,-39.273910,-71.973098,138 
149,-39.273944,-71.973083,123 
132,-39.273963,-71.973037,94 
99,-39.273979,-71.973037,79 
84,-39.273998,-71.973037,75 
79,-39.274021,-71.973022,71 
75,-39.274044,-71.972999,68 
70,-39.274059,-71.972991,61 
65,-39.274089,-71.973007,55 
58,-39.274105,-71.973014,45 
47,-39.274131,-71.973007,41 
43,-39.274139,-71.972999,38 
39,-39.274173,-71.972984,33 
34,-39.274204,-71.972984,30 
31,-39.274215,-71.972969,29 
30,-39.274238,-71.972953,26 
27,-39.274265,-71.972946,25 
27,-39.274295,-71.972923,25 
26,-39.274311,-71.972923,25 
26,-39.274337,-71.972900,25 
26,-39.274356,-71.972854,23 
24,-39.274360,-71.972831,24 
24,-39.274383,-71.972816,24 
24,-39.274417,-71.972808,19 
19,-39.274444,-71.972801,16 
16,-39.274456,-71.972793,18 
20,-39.274486,-71.972778,
