mp10,lat,lon,mp25
0,0,100 
109,0,0,99 
108,0,0,98 
103,0,0,92 
99,0,0,87 
94,0,0,79 
88,0,0,77 
85,0,0,78 
86,0,0,82 
90,0,0,79 
84,0,0,89 
97,0,0,89 
96,0,0,90 
97,0,0,93 
100,0,0,94 
99,0,0,94 
99,0,0,87 
90,0,0,89 
95,0,0,86 
95,0,0,82 
90,0,0,79 
86,0,0,75 
79,0,0,73 
74,0,0,67 
70,0,0,67 
74,0,0,64 
71,0,0,65 
70,0,0,64 
69,0,0,63 
68,0,0,62 
64,0,0,62 
64,0,0,61 
63,0,0,56 
58,0,0,56 
58,0,0,53 
54,0,0,53 
55,0,0,55 
56,0,0,55 
57,0,0,56 
57,0,0,57 
58,0,0,55 
56,0,0,54 
55,0,0,54 
54,0,0,53 
54,0,0,54 
55,0,0,54 
54,0,0,53 
55,0,0,52 
54,0,0,53 
56,0,0,52 
56,0,0,52 
58,-39.274608,-71.972045,53 
60,-39.274650,-71.972023,54 
60,-39.274684,-71.972007,53 
59,-39.274692,-71.972000,53 
59,-39.274696,-71.971992,51 
58,-39.274703,-71.971992,51 
56,-39.274711,-71.971984,51 
56,-39.274707,-71.971984,50 
55,-39.274707,-71.971984,49 
52,-39.274707,-71.971984,48 
51,-39.274707,-71.971984,46 
49,-39.274707,-71.971984,46 
49,-39.274703,-71.971992,45 
48,-39.274703,-71.971992,47 
49,-39.274703,-71.971992,49 
52,-39.274703,-71.971992,47 
48,-39.274703,-71.971992,47 
48,-39.274707,-71.971992,46 
47,-39.274711,-71.971992,46 
47,-39.274719,-71.971992,46 
47,-39.274719,-71.971992,45 
46,-39.274723,-71.971992,45 
46,-39.274723,-71.971984,43 
44,-39.274723,-71.971992,43 
45,-39.274723,-71.971992,44 
46,-39.274723,-71.971992,43 
45,-39.274723,-71.971992,42 
43,-39.274723,-71.971992,42 
43,-39.274723,-71.971992,40 
41,-39.274723,-71.972000,40 
40,-39.274723,-71.971992,40 
41,-39.274719,-71.972000,40 
41,-39.274719,-71.972000,40 
41,-39.274711,-71.972000,39 
40,-39.274711,-71.972000,39 
40,-39.274707,-71.972000,38 
39,-39.274707,-71.971992,41 
42,-39.274707,-71.971992,41 
44,-39.274707,-71.972000,42 
47,-39.274711,-71.971992,42 
48,-39.274715,-71.972000,42 
47,-39.274719,-71.972000,43 
48,-39.274719,-71.971992,45 
49,-39.274719,-71.971992,45 
50,-39.274723,-71.971992,44 
49,-39.274723,-71.971992,45 
49,-39.274726,-71.971984,45 
48,-39.274734,-71.971984,46 
47,-39.274742,-71.971984,45 
46,-39.274749,-71.971984,47 
48,-39.274753,-71.971977,49 
52,-39.274753,-71.971984,60 
67,-39.274757,-71.971977,68 
77,-39.274761,-71.971977,70 
76,-39.274765,-71.971977,73 
80,-39.274761,-71.971977,72 
79,-39.274761,-71.971977,71 
75,-39.274765,-71.971977,69 
72,-39.274765,-71.971977,65 
70,-39.274761,-71.971984,65 
70,-39.274761,-71.971984,67 
70,-39.274757,-71.971992,66 
70,-39.274761,-71.971984,67 
72,-39.274761,-71.971992,66 
70,-39.274772,-71.971984,64 
72,-39.274780,-71.971969,63 
70,-39.274784,-71.971961,60 
67,-39.274787,-71.971961,60 
73,-39.274787,-71.971961,62 
72,-39.274784,-71.971969,63 
72,-39.274780,-71.971984,73 
87,-39.274776,-71.971984,84 
97,-39.274768,-71.971992,95 
103,-39.274765,-71.972000,102 
113,-39.274765,-71.972007,96 
106,-39.274761,-71.972000,93 
103,-39.274761,-71.972007,91 
102,-39.274765,-71.972007,88 
99,-39.274765,-71.972007,85 
97,-39.274761,-71.972000,77 
85,-39.274761,-71.972000,78 
86,-39.274757,-71.972000,86 
96,-39.274753,-71.971992,81 
89,-39.274753,-71.971984,80 
86,-39.274753,-71.971984,80 
87,-39.274757,-71.971977,76 
84,-39.274757,-71.971977,77 
84,-39.274757,-71.971977,77 
84,-39.274753,-71.971969,78 
84,-39.274753,-71.971961,76 
83,-39.274757,-71.971969,78 
86,-39.274753,-71.971961,76 
84,-39.274761,-71.971977,75 
85,-39.274761,-71.971977,76 
86,-39.274761,-71.971984,76 
81,-39.274761,-71.971984,80 
87,-39.274761,-71.971992,81 
87,-39.274761,-71.971992,83 
89,-39.274761,-71.971992,85 
93,-39.274765,-71.971992,90 
96,-39.274761,-71.971992,95 
101,-39.274761,-71.971984,94 
102,-39.274765,-71.971992,88 
96,-39.274761,-71.971992,79 
88,-39.274761,-71.971992,66 
76,-39.274765,-71.971992,58 
65,-39.274768,-71.972000,57 
66,-39.274768,-71.972000,59 
68,-39.274768,-71.972007,58 
67,-39.274765,-71.972007,59 
69,-39.274761,-71.972007,62 
68,-39.274757,-71.972007,61 
68,-39.274753,-71.972007,60 
66,-39.274753,-71.972007,58 
62,-39.274742,-71.972000,56 
59,-39.274742,-71.972000,54 
57,-39.274738,-71.972000,53 
56,-39.274734,-71.972000,50 
53,-39.274734,-71.972000,48 
51,-39.274734,-71.972000,47 
49,-39.274734,-71.972007,46 
48,-39.274738,-71.972007,46 
48,-39.274734,-71.972000,46 
48,-39.274734,-71.972000,46 
48,-39.274734,-71.972007,46 
48,-39.274734,-71.972007,46 
48,-39.274730,-71.972000,47 
50,-39.274730,-71.972000,48 
53,-39.274730,-71.972000,53 
59,-39.274730,-71.972000,54 
60,-39.274730,-71.972000,56 
61,-39.274730,-71.972000,54 
57,-39.274734,-71.972007,52 
55,-39.274734,-71.972007,53 
55,-39.274730,-71.972000,52 
56,-39.274730,-71.972000,50 
52,-39.274730,-71.971992,49 
52,-39.274726,-71.971992,48 
51,-39.274726,-71.971984,48 
51,-39.274726,-71.971984,46 
49,-39.274723,-71.971977,48 
51,-39.274723,-71.971977,51 
54,-39.274723,-71.971977,49 
52,-39.274723,-71.971977,48 
51,-39.274726,-71.971977,47 
50,-39.274730,-71.971977,45 
48,-39.274734,-71.971984,42 
44,-39.274742,-71.971984,38 
42,-39.274749,-71.971992,43 
46,-39.274753,-71.971992,43 
46,-39.274757,-71.971992,43 
46,-39.274761,-71.971984,43 
46,-39.274761,-71.971984,45 
48,-39.274761,-71.971977,46 
49,-39.274761,-71.971977,45 
48,-39.274761,-71.971969,43 
45,-39.274757,-71.971961,44 
46,-39.274757,-71.971961,43 
48,-39.274757,-71.971961,41 
46,-39.274753,-71.971954,42 
47,-39.274753,-71.971954,39 
44,-39.274753,-71.971946,38 
40,-39.274753,-71.971946,38 
41,-39.274753,-71.971954,40 
42,-39.274753,-71.971961,43 
45,-39.274757,-71.971961,48 
50,-39.274757,-71.971961,51 
54,-39.274753,-71.971954,49 
53,-39.274742,-71.971954,47 
51,-39.274742,-71.971954,46 
50,-39.274738,-71.971954,46 
49,-39.274734,-71.971954,45 
49,-39.274734,-71.971954,44 
46,-39.274734,-71.971954,46 
49,-39.274734,-71.971961,46 
49,-39.274734,-71.971961,47 
49,-39.274734,-71.971969,45 
48,-39.274738,-71.971969,44 
46,-39.274742,-71.971969,46 
48,-39.274742,-71.971977,46 
48,-39.274742,-71.971977,43 
46,-39.274742,-71.971977,43 
46,-39.274742,-71.971984,44 
47,-39.274753,-71.971984,45 
47,-39.274761,-71.971984,47 
48,-39.274768,-71.971984,47 
50,-39.274772,-71.971984,47 
50,-39.274780,-71.971992,47 
50,-39.274784,-71.972000,47 
